CODIGO BIP,NOMBRE INICIATIVA,REGION,COMUNA,ETAPA POSTULA,COSTO TOTAL M$,AÑO POSTULACION,RATE,FECHA RATE,SECTOR,MAGNITUD,MAGNITUD VALOR,FUENTE FINANCIERA
40080412-0,"REPOSICION SEDE SOCIAL COMUNIDAD INDIGENA JUAN ANTONIO LLANCAVIL, SECTOR MILLAHUECO COMUNA DE SAAVEDRA",REGION DE LA ARAUCANIA,SAAVEDRA,EJECUCION,103.589,2026,,,MULTISECTORIAL,METROS CUADRADOS,83,FNDR
40059806-0,REPOSICION COMPLEJO EDUCACIONAL MELIPEUCO,REGION DE LA ARAUCANIA,MELIPEUCO,DISEÑO,531.230,2026,,,EDUCACIÓN,METROS CUADRADOS,5000,FNDR
40080306-0,"ADQUISICION ADQUISICION DE UNA CLINICA DENTAL MOVIL, PARA LA COMUNA DE CHOLCHOL",REGION DE LA ARAUCANIA,CHOL CHOL,EJECUCION,600.000,2026,,,SALUD,UNIDAD,1,FNDR
40077621-0,"MEJORAMIENTO SEÑALIZACION Y SEGURIDAD PEATONAL, COMUNA DE LOS SAUCES ",REGION DE LA ARAUCANIA,LOS SAUCES,EJECUCION,110.965,2026,,,TRANSPORTE,UNIDAD,292,FNDR
40038018-0,"CONSTRUCCION PILETA CENTRAL PLAZA DE ARMAS, COMUNA DE ERCILLA",REGION DE LA ARAUCANIA,ERCILLA,EJECUCION,99.000,2026,,,VIVIENDA Y DESARROLLO URBANO,METROS CUADRADOS,180,FNDR
40065222-0,"ADQUISICION EQUIPOS UPC ADULTO, HOSPITAL HERNAN HENRIQUEZ ARAVENA DE TEMUCO",REGION DE LA ARAUCANIA,,EJECUCION,372.556,2026,,,SALUD,UNIDAD,6,FNDR
40080351-0,ADQUISICION DE VEHICULO PARA FORTALECER LA RESPUESTA ANTE SITUACIONES DE EMERGENCIA EN LA COMUNA DE CHOLCHOL,REGION DE LA ARAUCANIA,CHOL CHOL,EJECUCION,114.954,2026,,,MULTISECTORIAL,UNIDAD,1,FNDR
40080723-0,CONSTRUCCION PAVIMENTOS Y AGUAS LLUVIAS CALLE BUSTOS,REGION DE LA ARAUCANIA,FREIRE,EJECUCION,341.347,2027,,,TRANSPORTE,METROS CUADRADOS,1622,FNDR
40068419-0,"MEJORAMIENTO SEDE DE PROFESORES, COMUNA DE GALVARINO",REGION DE LA ARAUCANIA,GALVARINO,EJECUCION,92.350,2026,,,MULTISECTORIAL,METROS CUADRADOS,146,FNDR
40074857-0,"CONSTRUCCION CENTRO COMUNITARIO SAN PATRICIO, VILCÚN",REGION DE LA ARAUCANIA,VILCUN,EJECUCION,140.000,2026,,,MULTISECTORIAL,METROS CUADRADOS,165,FNDR
